experiment_id,met_id,ms_id,measurement_replicate,labelled_atom_ids,unlabelled_atoms,mass_isotope,intensity,intensity_std_error,time
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,2,143.531836,65.61562388,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,3,17.72911585,17.72911585,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,4,12.42618157,12.42618157,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,5,96.32451204,41.55530917,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,6,0.818551704,0.818551704,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,7,31.47042575,8.701951485,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,8,3.039211539,3.039211539,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,9,5.917672187,2.979294188,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,10,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,11,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,12,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,13,13.21082631,1.663804708,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,14,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,15,7.31370273,3.679059593,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,16,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,17,17.93260499,2.353889234,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,18,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,19,6.05692983,6.05692983,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,20,0,0.02,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,21,0.904766785,0.871122259,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,0,9501.227347,750.064426,60
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,1,217.7376143,109.552692,60
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,2,171.0437896,120.2658059,60
